"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Clint Capela","Atl","C","30.5","15","22.5","17.6","11.6","36","0.611","114","0.632","0","0","0.632","0.639","11.1","8.2","1.2","0.5","0.6","1","19.3","12.3","20.5","8.5","126.5","109.3"
"","Tyus Jones","Pho","G","28.5","15","32.5","14.9","9.4","10","0.8","64","0.531","81","0.37","0.545","0.556","11.1","2.9","6.7","0.9","0.1","1","13.9","17.7","20.6","7.4","125.6","117.4"
"","Onyeka Okongwu","Atl","F-C","23.9","13","23.7","16.9","10.6","33","0.848","78","0.667","23","0.174","0.574","0.623","11.1","6.5","1.7","0.8","0.7","0.9","17.5","12.8","19.2","8.4","126.6","109.4"
"","Ayo Dosunmu","Chi","G","24.8","15","28.2","17.3","11","29","0.862","83","0.566","63","0.254","0.486","0.526","11.1","4.1","4.1","0.3","0.5","1.2","15.3","15.2","19.3","8.1","111.3","113.8"
"","Zach Edey","Mem","C","22.5","14","20.1","20.4","17.9","33","0.667","95","0.611","10","0.6","0.638","0.653","11.1","6.9","0.8","0.9","1","1.6","18.1","11.9","18.9","7.8","118.5","94.3"
"","Caleb Martin","Phi","F","29.1","13","33.6","16.3","19.1","47","0.681","74","0.486","40","0.325","0.487","0.531","11","5.6","2.5","1.2","0.3","2.1","16.6","13.5","19.1","6.4","102.5","111.2"
"","Nick Richards","Cha","C","27","5","27.4","15.2","17.4","22","0.591","32","0.656","1","0","0.636","0.644","11","10","1.8","0.4","2.4","1.4","21","12.8","22.8","8.5","127.9","107"
"","Rudy Gobert","Min","C","32.4","14","32.9","12.9","21.3","45","0.8","92","0.63","0","0","0.63","0.68","10.9","10.4","1.9","0.4","1.6","1.8","21.3","12.8","23.2","7.3","128.8","105.3"
"","Dorian Finney-Smith","Bro","F","31.5","12","29.2","15.9","11.8","16","0.625","36","0.556","68","0.397","0.582","0.59","10.9","4.8","1.8","1","0.7","1.2","15.8","12.7","17.5","6.2","116.9","108.7"
"","Julian Champagnie","San","F","23.4","14","28.2","15.9","10.8","13","0.846","35","0.6","89","0.371","0.569","0.586","10.9","5.3","1.6","0.6","0.5","1.1","16.1","12.4","17.7","6.4","112.4","110.9"
"","Russell Westbrook","Den","G","36","12","24.2","24.2","20.2","51","0.686","75","0.36","39","0.333","0.408","0.469","10.7","3.9","5.3","1.3","0.6","2.4","14.6","16","19.9","10","100.3","105.2"
"","Chris Boucher","Tor","F","31.9","15","18.6","21","7.7","30","0.733","64","0.656","55","0.327","0.58","0.605","10.7","4.7","0.7","0.4","0.9","0.7","15.4","11.4","16.1","7","120.8","116"
"","Ty Jerome","Cle","G-F","27.4","15","17.5","21.3","13.6","25","0.84","64","0.625","37","0.541","0.693","0.719","10.7","2.1","3.7","1.2","0","1.1","12.8","14.5","16.5","10","139.3","107.3"
"","Miles McBride","Nyk","G","24.2","11","26.4","17.8","10.7","10","0.8","42","0.524","58","0.379","0.55","0.565","10.7","2.3","2.5","1.1","0.3","1.1","13","13.3","15.5","6","112.1","113.3"
"","Jose Alvarado","Nor","G","26.6","11","25.6","18.5","12.1","17","0.824","41","0.39","60","0.4","0.515","0.544","10.7","2.2","4.5","1.5","0.3","1.3","12.9","15.2","17.4","7.4","117.4","111.9"
"","Josh Okogie","Pho","G","26.2","7","18.9","21.4","12.4","18","0.667","33","0.576","16","0.5","0.633","0.65","10.6","4.4","0.6","1.3","0.1","1","15","11.1","15.6","6.4","121.4","107.9"
"","Grayson Allen","Pho","G","29.1","11","21.9","21.3","13.2","23","0.739","20","0.45","72","0.375","0.538","0.568","10.5","2.5","1","0.6","0.4","1.3","13.1","11.5","14.1","5.4","104","113.1"
"","Chris Paul","San","G","39.5","14","28.3","16","20.2","17","1","39","0.615","71","0.38","0.586","0.621","10.4","3.7","8.4","1.4","0.1","2","14.1","18.8","22.5","9.7","128.1","108.7"
"","Dalano Banton","Por","F","25","12","14","30","15.6","33","0.697","60","0.5","32","0.438","0.554","0.587","10.4","1.8","2.4","1.1","0.6","1.4","12.3","12.8","14.7","10.2","113.4","110.7"
"","Carlton Carrington","Was","G","19.3","13","30.3","15.2","17.6","20","0.8","58","0.483","54","0.389","0.531","0.559","10.4","4.4","5","1.2","0.3","1.8","14.8","15.4","19.8","8.1","109.3","114.6"
"","P.J. Washington","Dal","F","26.2","9","30.6","15.2","10","18","0.722","45","0.556","36","0.278","0.494","0.523","10.3","8.3","1.6","1.4","1.1","1","18.7","11.9","20.2","6.7","111.3","107"
"","De'Anthony Melton","Gol","G","26.5","6","20.2","23","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","105.5","96.5"
"","Duncan Robinson","Mia","F","30.6","12","20.3","22.2","7.4","7","0.857","30","0.433","82","0.366","0.518","0.53","10.2","2.2","1.8","0.6","0.3","0.8","12.3","12","14.2","6.8","107.2","108.1"
"","Obi Toppin","Ind","F","26.7","13","21.2","17.5","10.5","15","0.867","51","0.745","42","0.333","0.634","0.658","10.1","3","1.8","0.6","0.4","0.8","13.1","11.8","14.8","7.2","125.3","117.3"
"","Jaden McDaniels","Min","F","24.1","14","29.7","15.4","12.2","20","0.6","71","0.577","51","0.314","0.533","0.543","10.1","3.5","1.7","1.4","1","1.2","13.6","11.9","15.4","5.3","107.9","103.9"
"","Derrick Jones Jr.","Lac","F","27.8","15","25.8","16","13.1","16","0.813","67","0.507","52","0.442","0.576","0.595","10","3.5","0.9","1.2","0.3","1.2","13.5","10.9","14.4","4.9","112","106.2"
"","Grant Williams","Cha","F","26","13","28.8","14.8","18.1","25","0.8","34","0.559","65","0.369","0.556","0.591","10","5","2.3","1.2","0.6","1.7","15","12.3","17.3","6.8","112.6","106.6"
"","Garrison Mathews","Atl","G","28.1","14","21.7","14.5","7.3","26","0.885","14","0.429","75","0.467","0.657","0.697","10","1.2","1.8","0.9","0.2","0.5","11.2","11.8","13","5.1","137.1","113.8"
"","Patrick Williams","Chi","F","23.2","15","28.9","16.5","17.9","25","0.84","62","0.355","71","0.394","0.481","0.517","9.9","5","2.3","1","0.5","1.9","14.9","12.3","17.3","6.7","97.7","115.6"
"","Stephon Castle","San","G","20","14","24.6","19.9","12.7","38","0.684","76","0.461","47","0.298","0.455","0.494","9.9","2.6","3.1","0.9","0.4","1.3","12.4","13","15.6","7","105","111.1"
"","Aaron Wiggins","Okc","G","25.9","14","21.8","18.3","7.9","11","0.818","66","0.47","50","0.44","0.552","0.567","9.8","3.9","2.1","0.9","0.4","0.7","13.7","11.9","15.8","7.9","117.5","103.5"
"","Julian Strawther","Den","G","22.6","12","21.5","18.9","12.3","22","0.773","45","0.511","47","0.383","0.543","0.575","9.8","2.3","1.5","0.9","0.4","1.1","12","11.3","13.5","6","110","105.6"
"","Alexandre Sarr","Was","C","19.6","13","25.6","20.3","10.6","30","0.7","75","0.467","59","0.203","0.396","0.431","9.8","5.5","2.3","0.8","2.1","1.2","15.3","12.1","17.6","7.8","95.2","113.9"
"","Deni Avdija","Por","F","23.9","14","24.9","19.2","19","50","0.82","68","0.426","47","0.255","0.409","0.493","9.6","5.7","3.1","1.1","0.8","1.9","15.4","12.7","18.4","8.9","101.9","109.8"
"","Ziaire Williams","Bro","F","23.2","14","21.8","20","10.4","27","0.815","64","0.547","48","0.292","0.5","0.541","9.6","4.7","1","0.9","0.4","0.9","14.3","10.6","15.3","6.5","107.6","103.8"
"","Amir Coffey","Lac","G-F","27.4","15","23.6","14.6","8.4","32","0.844","49","0.51","49","0.449","0.592","0.638","9.5","2.5","1.1","0.6","0.1","0.6","12","10.7","13.1","5","127.3","109.6"
"","Al Horford","Bos","C-F","38.5","12","27","13","13.6","4","1","22","0.636","60","0.45","0.665","0.675","9.4","5.4","2.3","1","0.7","1.1","14.8","11.8","17.2","7.2","128.6","108.5"
"","Donte DiVincenzo","Min","G","27.8","14","25.7","18.8","14.7","14","0.786","28","0.429","99","0.323","0.472","0.492","9.4","3.2","3.3","1.3","0.3","1.6","12.6","12.6","15.9","7.2","101","108.3"
"","Jay Huff","Mem","C","27.2","14","14.5","19.4","7.7","17","0.882","31","0.774","52","0.442","0.705","0.729","9.4","2.6","0.8","0.3","1.7","0.5","12","10.2","12.8","7.4","136.9","105.8"
"","Dalton Knecht","Lal","F","23.6","13","20.2","16.8","6","8","1","36","0.611","57","0.404","0.608","0.627","9.3","2.3","1.2","0.5","0","0.5","11.6","10.5","12.8","5.8","124.1","115.5"
"","Harrison Barnes","San","F","32.5","14","28.3","12.8","11.6","30","0.833","49","0.571","42","0.381","0.571","0.619","9.2","3.9","1.5","0.3","0.2","0.9","13.1","10.7","14.6","5.3","124.3","116.9"
"","T.J. McConnell","Ind","G","32.7","13","18.2","24","16.5","7","0.714","101","0.554","5","0.2","0.542","0.55","9.2","2.5","4.2","1.2","0.2","1.6","11.7","13.5","15.9","10.1","108.6","115.7"
"","Aaron Nesmith","Ind","G-F","25.1","6","22.7","15","12.1","13","0.846","25","0.52","11","0.545","0.611","0.659","9.2","4","1","0.7","0.3","0.8","13.2","10.2","14.2","5.9","123.3","102.2"
"","Moses Moody","Gol","G","22.5","13","16.2","21.5","15","21","0.714","34","0.529","51","0.451","0.618","0.637","9.2","2.2","1","0.3","0.2","1.2","11.4","10.2","12.4","6.7","113.9","106.9"
"","Walker Kessler","Uta","C","23.3","9","26.4","13.4","22.6","23","0.565","51","0.686","0","0","0.686","0.679","9.2","10.7","1","0.4","2.8","1.7","19.9","10.2","20.9","7","121.2","110.4"
"","Draymond Green","Gol","F","34.7","13","28.2","14.1","24.5","33","0.697","38","0.421","45","0.467","0.572","0.605","9.1","5.8","5.5","1.1","1.1","2.1","14.8","14.5","20.3","9.4","119","98.5"
"","Royce O'Neale","Pho","F","31.5","15","24.8","16.7","9.7","15","0.8","49","0.408","72","0.389","0.512","0.533","9.1","6.2","2.3","0.8","0.9","0.9","15.3","11.3","17.5","8.2","113.1","106.1"
"","Cody Martin","Cha","F","29.1","13","24.4","15","12.3","20","0.7","46","0.543","46","0.391","0.565","0.585","9.1","4.3","2","0.9","0.5","1","13.4","11.1","15.4","7","119.2","110.9"
