RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,3P%_per_MIN,3P_per_MIN
,Kevin Durant,Pho,F,36.1,9,38.8,27.2,15.7,55,0.836,105,0.619,56,0.429,0.627,0.67,27.6,6.6,3.4,0.8,1.4,3.3,34.1,31.0,37.6,8.8,116.6,113.3,0.011056701030927835,0.06879725085910654
,Jalen Suggs,Orl,G,23.5,15,30.1,24.2,19.2,42,0.929,87,0.529,102,0.304,0.489,0.54,14.9,4.8,3.8,1.5,1.1,3.0,19.7,18.7,23.5,8.6,99.1,99.3,0.010099667774086378,0.06867774086378738
,Franz Wagner,Orl,F,23.2,15,31.2,30.4,9.6,65,0.846,183,0.525,89,0.36,0.529,0.571,22.9,5.5,5.0,1.4,0.3,1.9,28.4,27.9,33.4,11.0,115.4,101.0,0.011538461538461539,0.06846153846153846
,Chris Paul,San,G,39.5,14,28.3,16.0,20.2,17,1.0,39,0.615,71,0.38,0.586,0.621,10.4,3.7,8.4,1.4,0.1,2.0,14.1,18.8,22.5,9.7,128.1,108.7,0.01342756183745583,0.06809692074709743
,LeBron James,Lal,F,39.9,13,35.4,27.4,17.8,66,0.758,144,0.556,72,0.431,0.586,0.618,23.3,8.6,9.2,0.7,0.5,3.6,31.9,32.5,41.2,13.9,119.6,113.7,0.012175141242937854,0.06743155149934811
,D'Angelo Russell,Lal,G,28.7,13,28.0,20.0,13.2,23,0.913,65,0.492,73,0.329,0.493,0.53,12.1,2.1,4.8,1.0,0.1,1.6,14.2,16.8,18.9,7.1,109.6,114.3,0.01175,0.06598076923076923
,Fred VanVleet,Hou,G,30.7,14,34.7,19.2,7.1,37,0.784,94,0.5,103,0.311,0.482,0.513,15.6,4.6,6.1,1.7,0.4,1.1,20.2,21.7,26.3,8.8,118.6,102.8,0.008962536023054754,0.06593865788390284
,Tyrese Haliburton,Ind,G,24.7,14,35.2,21.9,10.6,49,0.816,90,0.5,111,0.288,0.463,0.508,16.1,3.7,8.5,1.4,0.6,1.7,19.9,24.6,28.4,9.1,114.7,117.3,0.00818181818181818,0.06487012987012986
,Dillon Brooks,Hou,G-F,28.8,15,30.9,16.0,6.3,20,0.85,86,0.43,76,0.395,0.506,0.53,12.1,3.5,1.2,0.7,0.1,0.7,15.5,13.3,16.7,4.8,113.2,102.1,0.0127831715210356,0.06476806903991371
,Jalen Brunson,Nyk,G,28.2,14,34.2,30.0,10.5,89,0.82,171,0.515,83,0.373,0.53,0.583,24.4,2.9,7.1,0.6,0.0,2.1,27.4,31.6,34.5,9.3,121.8,114.9,0.01090643274853801,0.06465956558061821
,Miles Bridges,Cha,F,26.7,10,29.8,22.6,9.6,33,0.848,72,0.486,60,0.317,0.481,0.529,15.5,6.9,3.1,0.7,0.5,1.4,22.4,18.6,25.5,9.3,112.6,113.4,0.01063758389261745,0.0638255033557047
,Terry Rozier,Mia,G,30.7,12,31.8,20.0,13.4,26,0.885,70,0.429,72,0.333,0.465,0.505,12.9,4.2,3.7,0.8,0.4,1.8,17.1,16.6,20.8,7.4,102.9,112.3,0.010471698113207547,0.06283018867924528
,Kyle Kuzma,Was,F,29.3,8,28.0,30.7,15.9,20,0.7,84,0.476,48,0.292,0.462,0.483,17.0,6.8,2.1,0.3,0.4,3.1,23.8,19.1,25.9,8.9,87.5,118.4,0.010428571428571428,0.06257142857142857
,Cade Cunningham,Det,G,23.2,16,36.3,30.7,19.1,69,0.812,217,0.479,97,0.371,0.503,0.54,23.3,7.3,8.8,0.9,0.9,4.6,30.5,32.1,39.3,12.6,105.8,107.0,0.01022038567493113,0.06196108815426998
,Tyus Jones,Pho,G,28.5,15,32.5,14.9,9.4,10,0.8,64,0.531,81,0.37,0.545,0.556,11.1,2.9,6.7,0.9,0.1,1.0,13.9,17.7,20.6,7.4,125.6,117.4,0.011384615384615384,0.061476923076923075
,RJ Barrett,Tor,F-G,24.4,12,34.1,31.1,14.1,76,0.697,163,0.46,74,0.338,0.475,0.514,23.2,6.4,6.5,0.9,0.3,3.3,29.6,29.7,36.1,11.6,105.5,114.1,0.009912023460410558,0.061124144672531765
,Jrue Holiday,Bos,G,34.4,13,30.8,17.1,14.2,23,0.87,60,0.617,66,0.364,0.579,0.61,12.8,3.9,4.0,0.5,0.2,1.6,16.7,16.8,20.7,7.6,121.9,112.1,0.011818181818181818,0.06
,De'Aaron Fox,Sac,G,26.9,15,37.4,32.0,15.0,99,0.838,219,0.571,93,0.355,0.559,0.607,28.8,5.0,5.7,1.7,0.1,3.7,33.8,34.5,39.5,10.0,115.1,108.3,0.009491978609625668,0.05885026737967915
,Brook Lopez,Mil,C,36.6,14,32.3,16.1,11.6,25,0.72,59,0.576,78,0.333,0.533,0.554,11.7,5.3,1.5,1.4,2.4,1.3,17.0,13.2,18.5,5.6,107.4,108.3,0.010309597523219815,0.05743918620079612
,O.G. Anunoby,Nyk,F-G,27.3,14,36.4,18.8,8.1,40,0.8,103,0.602,79,0.367,0.58,0.609,17.4,5.4,2.2,1.4,0.6,1.1,22.8,19.6,25.0,6.5,121.4,112.0,0.010082417582417583,0.0568936420722135
,Kyshawn George,Was,F,20.9,13,27.8,15.1,8.9,20,0.7,38,0.5,74,0.27,0.438,0.464,8.6,4.2,3.0,0.8,0.9,0.8,12.8,11.6,15.8,6.9,101.6,113.8,0.00971223021582734,0.05528500276701715
,Jaylen Brown,Bos,G-F,28.1,10,36.8,30.5,10.3,82,0.78,132,0.5,68,0.294,0.48,0.542,25.6,7.1,4.0,1.1,0.4,2.3,32.7,29.6,36.7,9.8,112.4,106.1,0.007989130434782608,0.05432608695652173
,Mikal Bridges,Nyk,G-F,28.2,14,38.5,18.6,9.9,11,0.636,109,0.633,90,0.311,0.558,0.562,16.4,4.0,3.5,1.1,0.6,1.6,20.4,19.9,23.9,6.4,113.1,117.3,0.008077922077922078,0.051929499072356215
,Shai Gilgeous-Alexander,Okc,G,26.4,14,33.5,32.9,11.4,105,0.886,203,0.576,76,0.316,0.548,0.613,28.5,5.3,6.3,1.6,1.2,2.6,33.8,34.8,40.1,11.7,121.8,104.7,0.009432835820895522,0.051206823027718555
,Jamal Murray,Den,G,27.7,9,36.3,22.4,11.5,35,0.857,85,0.459,53,0.302,0.457,0.508,17.3,4.4,5.4,1.2,0.2,2.0,21.8,22.8,27.2,8.2,107.7,113.6,0.008319559228650138,0.04899295990205081
,Keegan Murray,Sac,F,24.2,15,36.7,15.6,8.0,21,0.857,85,0.565,87,0.299,0.506,0.53,12.8,8.0,1.7,0.5,0.6,1.0,20.8,14.5,22.5,6.1,112.3,107.4,0.008147138964577656,0.047253405994550406
